test 1 (s): (10.20934120000311, True) 
test 2 (s): (9.7071360000009, True) 
test 3 (s): (9.448207299999922, True) 
test 4 (s): (9.912334100001317, True) 
test 5 (s): (9.781256099999155, True) 
test 6 (s): (9.353554500001337, True) 
test 7 (s): (9.60081650000211, True) 
test 8 (s): (9.516526400002476, True) 
test 9 (s): (9.168511199997738, True) 
test 10 (s): (9.138663599998836, True) 
Average time: 9.58363469000069
